Identifier,Category,Name,Synonym,CAS,Ⲗabs.max (nm),τf (ns),φF,Solvent,φISC,E(0.0; S1),E(0.0; T1),Ered,Eox,Ered. S1,Eox. S1,Ered. T1,Eox. T1,Molecular Weight,Chemical Formula,SMILES,H-Bond Donor Count,H-Bond Acceptor Count,Solubility,Melting Point,Boiling Point,pKa
G14,Quinones,2.3-dichloro-1.4-naphthoquinone,Dichlone,117-80-6,280.0,,,Ethanol,,,,,,,,,,227.04,C10H4Cl2O2,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl,0,2,,,,
G15,Quinones,2-methyl-1.4-naphthoquinone,Menadione. Vitamin K3,58-27-5,251.0,,,Ethanol,,,,,,,,,,172.18,C11H8O2,CC1=CC(=O)C2=CC=CC=C2C1=O,0,2,,,,
G16,Quinones,9.10-phenanthrenequinone,,84-11-7,268.0,,,Chloroform,,,,,,,,,,208.21,C14H8O2,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,0,2,,,,
G17,Quinones,1.2-naphthoquinone,Beta-Naphthoquinone,524-42-5,249.0,,,Methanol,,,,,,,,,,158.15,C10H6O2,C1=CC=C2C(=C1)C=CC(=O)C2=O,0,2,,,,
G18,Quinones,1.2-naphthoquinone-4-sulfonic acid. sodium salt,,521-24-4,250.0,,,Methanol,,,,,,,,,,260.20,C10H5NaO5S,C1=CC=C2C(=C1)C(=CC(=O)C2=O)S(=O)(=O)[O-].[Na+],0,5,,,,
G19,Quinones,9.10-anthraquinone,,84-65-1,251.25,,,Ethanol,,,,,,,,,,208.21,C14H8O2,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,0,2,,,,
G20,Quinones,Alizarin,1.2-Dihydroxyanthraquinone. Mordant Red 11,72-48-0,248.0,,,Ethanol,,,,,,,,,,240.21,C14H8O4,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,2,4,,,,
G21,Quinones,Alizarin red s,,130-22-3,250.0,,,Ethanol,,,,,,,,,,342.26,C14H7NaO7S,C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)S(=O)(=O)[O-].[Na+],2,7,,,,
G22,Quinones,1.4-anthraquinone,,635-12-1,233.0,,,Ethanol,,,,,,,,,,208.21,C14H8O2,C1=CC=C2C=C3C(=O)C=CC(=O)C3=CC2=C1,0,2,,,,
G23,Quinones,5.12-naphthacenequinone,Tetracenequinone,1090-13-7,296.0,,0.43,Benzene,,,,,,,,,,258.3,C18H10O2,C1=CC=C2C=C3C(=CC2=C1)C(=O)C4=CC=CC=C4C3=O,0,2,,,,
G24,Quinones,6.13-pentacenequinone,,3029-32-1,303.0,,0.54,Benzene,,,,,,,,,,308.3,C22H12O2,C1=CC=C2C=C3C(=CC2=C1)C(=O)C4=CC5=CC=CC=C5C=C4C3=O,0,2,,,,
H01,Coumarins,Coumarin,,91-64-5,275.0,,,Ethanol,,,,,,,,,,146.14,C9H6O2,C1=CC=C2C(=C1)C=CC(=O)O2,0,2,,,,
H02,Coumarins,4-hydroxycoumarin,,1076-38-6,280.0,,0.003,Ethanol,,,,,,,,,,162.14,C9H6O3,C1=CC=C2C(=C1)C(=CC(=O)O2)O,1,3,,,,
H03,Coumarins,7-hydroxycoumarin,Umbelliferone,93-35-6,326.0,,0.08,Methanol,,,,,,,,,,162.14,C9H6O3,C1=CC(=CC2=C1C=CC(=O)O2)O,1,3,,,,
H04,Coumarins,7-hydroxy-4-(trifluoromethyl)coumarin,4-Trifluoromethylumbeliferone,575-03-1,338.0,,0.2,Ethanol,,,,,,,,,,230.14,C10H5F3O3,C1=CC2=C(C=C1O)OC(=O)C=C2C(F)(F)F,1,6,,,,
H05,Coumarins,7-methoxycoumarin-4-acetic acid,,62935-72-2,323.75,,0.18,Methanol,,,,,,,,,,234.20,C12H10O5,COC1=CC2=C(C=C1)C(=CC(=O)O2)CC(=O)O,1,5,,,,
H06,Coumarins,Coumarin 1,7-(Diethylamino)-4-Methylcoumarin,91-44-1,373.25,,0.5,Ethanol,,,,,,,,,,231.29,C14H17NO2,CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,0,3,,,,
H07,Coumarins,Coumarin 6,,38215-36-0,459.25,,0.78,Ethanol,,,,,,,,,,350.4,C20H18N2O2S,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4S3,0,5,,,,
H08,Coumarins,Coumarin 7,3-(2-Benzimidazolyl)-7-(Diethylamino)Coumarin,27425-55-4,436.0,,0.82,Methanol,,,,,,,,,,333.4,C20H19N3O2,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3,1,4,,,,
H09,Coumarins,Coumarin 30,,41044-12-6,407.5,,0.8,Ethanol,,,,,,,,,,347.4,C21H21N3O2,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3C,0,4,,,,
