PhotochemCAD ID,Compound Category,Name,Synonym,CAS,Source,Absorption Wavelength,Absorption epsilon,Absorption coefficient,Quantum Yield,Solvent
E15,https://photochemcad.com/databases/common-compounds/heterocycles,2-Methylbenzoxazole,,95-21-6,,231.75,,,,cyclohexane
E16,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole,,109-97-7,,206,,,,hexane
E17,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole-2-carboxaldehyde,2-Formylpyrrole,1003-29-8,"Oakwood Chemical, 043867",278,,,,hexane
E18,https://photochemcad.com/databases/common-compounds/heterocycles,Thiazole Orange,,107091-89-4,"Sigma-Aldrich, 390062",502,,,,methanol
E19,https://photochemcad.com/databases/common-compounds/heterocycles,Thioflavin T,,2390-54-7,"Sigma-Aldrich, T3516",413,,,0.0004,water
E20,https://photochemcad.com/databases/common-compounds/heterocycles,"Tris(2,2'-bipyridyl)ruthenium(II)","Tris(2,2_-bipyridyl)dichlororuthenium(II)",65034-88-0,,286,,,,water
E21,https://photochemcad.com/databases/common-compounds/heterocycles,4-Chloro-7-nitrobenzofurazan,NBD,10199-89-0,,336,,,,ethanol
E22,https://photochemcad.com/databases/common-compounds/heterocycles,"7-Benzylamino-4-nitrobenz-2-oxa-1,3-diazole","4-Benzylamino-7-nitrobenzofurazan, Benzylamino-NBD",18378-20-6,"Sigma-Aldrich, B-1889",460.5,,,0.36,ethanol
E23,https://photochemcad.com/databases/common-compounds/heterocycles,Carbostyril 124,7-Amino-4-methyl-2-hydroxyquinoline,19840-99-4,,219,,,0.97,water (pH 5 to 9 )
E24,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline Yellow,Acid Yellow 3,8004-92-0,"TCI, Q0023",413,,,,PBS
E25,https://photochemcad.com/databases/common-compounds/heterocycles,"2,3,5-Triphenyltetrazolium Chloride",Tetrazolium Red,298-96-4,"TCI, T0520",247,,,,PBS
E26,https://photochemcad.com/databases/common-compounds/heterocycles,Quinine sulfate,,207671-44-1,,349,,,0.546,H2SO4 aq (1 N)
,,,,,,,,,,
F01,https://photochemcad.com/databases/common-compounds/biomolecules,L-Alanine,,56-41-7,"Sigma-Aldrich, A26802",262,,,,methanol
F02,https://photochemcad.com/databases/common-compounds/biomolecules,L-Phenylalanine,,63-91-2,"Sigma-Aldrich, P2126",257.5,,,0.022,water
F03,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tyrosine,,60-18-4,"Sigma-Aldrich, T3754",274.25,,,0.13,"phosphate buffer (pH 7, 0.1 M)"
F04,https://photochemcad.com/databases/common-compounds/biomolecules,L-Histidine,,71-00-1,"Sigma-Aldrich, H8000",211,,,,water
